UWI,TOP HOLE UTMX,TOP HOLE UTMY,BOTTOM HOLE UTMX,BOTTOM HOLE UTMY, WPGS  - TORQ  Grid  UTMX, WPGS  - TORQ  Grid  UTMY, WPGS  - TORQ  Grid  ,WPGS  top amp-base amp AMP Grid  UTMX,WPGS  TOP - BASE amp AMP Grid  UTMY,WPGS TOP - BASE Grid ,WPGS  Tr SM AMP Grid  UTMX,WPGS  Tr SM AMP Grid  UTMY,WPGS TROUGH Grid  ,WPGS  Top Peak Amp minus Trough amp  UTMX,WPGS  Top Peak Amp minus Trough amp  UTMY,WPGS Peak - Trough  ,WPGS  Lwr to TORQ,WPGS LWR
100010306003W600,411823.4612,6001464.874,411796.39,6001700.443,411797.1633,6001699.214,109.353783,411797.1633,6001699.214,-589.672607,411797.1633,6001699.214,-25637.52344,411797.1633,6001699.214,47130.21875,26.907578,16.459
100012006003W600,408475.466,6006462.85,408492.8363,6006510.612,408475.4633,6006505.582,108.266243,408475.4633,6006505.582,2413.854736,408475.4633,6006505.582,-35735.46094,408475.4633,6006505.582,59056.46484,20.453643,8.749024
100012605903W600,413280.914,5998150.485,413280.914,5998150.485,413280.914,5998150.485,97.08033,413280.914,5998150.485,-10911.14063,413280.914,5998150.485,-10890.44043,413280.914,5998150.485,19103.27539,18.66,11.43
100013305903W600,410004.0934,5999867.068,409878.6557,6000128.395,409873.4002,6000130.387,106.090698,409873.4002,6000130.387,-7458.17334,409873.4002,6000130.387,-23462.37305,409873.4002,6000130.387,39745.46484,22.217426,13.259
100013505903W600,413338.6543,6000130.423,413068.3825,6000020.975,413056.878,6000030.825,106.667526,413056.878,6000030.825,-10786.19922,413056.878,6000030.825,-15365.00781,413056.878,6000030.825,27083.4541,21.809503,19.355
100013606003W600,415165.7153,6009617.72,415220.0251,6009722.276,415168.1058,6009598.046,,415168.1058,6009598.046,,415168.1058,6009598.046,,415168.1058,6009598.046,,25.905336,17.526
100020206004W600,402964.3784,6001393.943,402971.2545,6001872.397,402979.3041,6001875.124,108.943375,402979.3041,6001875.124,7702.912109,402979.3041,6001875.124,-17120.70703,402979.3041,6001875.124,36237.75977,20.024538,7.925
100020706102W600,416965.157,6014123.716,416513.1137,6012813.206,416969.7295,6014147.444,,,,,,,,,,,22.185788,
100021106003W600,413000.6431,6002652.391,413005.2982,6002954.238,413000.3116,6002946.452,104.499199,413000.3116,6002946.452,-6775.463867,413000.3116,6002946.452,-22156.12891,413000.3116,6002946.452,37763.82715,25.506008,20.574
100023405903W600,411344.6369,5999889.484,411355.6316,5999882.05,411346.4766,5999880.547,104.396301,411346.4766,5999880.547,-9362.40332,411346.4766,5999880.547,-20940.80664,411346.4766,5999880.547,36346.75781,24.398225,13.464024
100030506003W600,407548.4672,6001342.209,407502.0851,6001547.426,407491.2337,6001538.997,101.15921,407491.2337,6001538.997,-20889.97656,407491.2337,6001538.997,-37428.46094,407491.2337,6001538.997,50080.53516,10.475843,3.2
100030606104W600,396277.4772,6011719.569,396277.4772,6011719.569,396277.4772,6011719.569,,396277.4772,6011719.569,,396277.4772,6011719.569,,396277.4772,6011719.569,,,12.802
100032305904W600,402399.3725,5996991.677,402399.3725,5996991.677,402399.3725,5996991.677,109.180321,402399.3725,5996991.677,-2746.29834,402399.3725,5996991.677,-7597.946777,402399.3725,5996991.677,15302.0835,24.390024,11.734024
100032605903W600,413249.8951,5998087.126,412452.6999,5998302.774,412426.5348,5998294.164,98.597183,412426.5348,5998294.164,-5179.711914,412426.5348,5998294.164,-15932.00977,412426.5348,5998294.164,28832.9502,21.04005,17.374
100040106003W600,413631.9193,6000358.097,413677.0573,6001529.087,413678.2317,6001526.599,103.677071,413678.2317,6001526.599,-5609.461426,413678.2317,6001526.599,-17465.46484,413678.2317,6001526.599,31672.64063,24.498351,23.47
100040606102W600,415585.0418,6010984.259,415585.0418,6010984.259,415585.0418,6010984.259,,415585.0418,6010984.259,,415585.0418,6010984.259,,415585.0418,6010984.259,,25.67,6.096
100041306004W600,403461.9842,6004412.688,403817.3441,6005016.876,403815.1834,6005008.986,111.990746,403815.1834,6005008.986,7830.804688,403815.1834,6005008.986,-27137.40039,403815.1834,6005008.986,49027.26758,19.01066,15.353
100043405904W600,401803.504,6001090.356,400681.6463,6000114.489,400679.1757,6000105.202,106.831955,400679.1757,6000105.202,14900.66211,400679.1757,6000105.202,-12219.66406,400679.1757,6000105.202,38595.88672,19.515711,18.456
100050106003W600,412997.5006,6002646.871,413858.9249,6002020.225,413858.0267,6002015.812,102.657127,413858.0267,6002015.812,-9293.708008,413858.0267,6002015.812,-18042.37695,413858.0267,6002015.812,30578.68848,22.58,19.964
100051006004W600,402210.0623,6003199.13,400722.3935,6003814.005,402134.831,6003165.237,111.105133,402134.831,6003165.237,13282.17188,402134.831,6003165.237,-14867.23145,402134.831,6003165.237,41126.71777,,
100051206003W600,413640.8147,6003629.667,413869.8057,6003643.131,413867.8613,6003643.544,105.143951,413867.8613,6003643.544,-11058.48047,413867.8613,6003643.544,-19397.94531,413867.8613,6003643.544,31435.73145,20.619791,11.887
100051506004W600,400015.2196,6004997.742,400583.1939,6005262.5,400574.5566,6005252.751,114.173622,400574.5566,6005252.751,38543.36328,400574.5566,6005252.751,-21362.81055,400574.5566,6005252.751,58611.77539,34.07692,29.108
100052505903W600,413268.6755,5998088.867,413830.4035,5998840.605,413824.1961,5998834.872,97.77169,413824.1961,5998834.872,-8987.676758,413824.1961,5998834.872,-11320.24609,413824.1961,5998834.872,17494.97656,15.555007,8.992
100052505904W600,403653.2963,5999215.104,403674.6084,5998935.851,403667.31,5998933.351,103.698982,403667.31,5998933.351,-19121.6543,403667.31,5998933.351,-17017.90039,403667.31,5998933.351,25987.85156,17.339661,10
100053505903W600,411968.233,6000798.16,411930.0758,6000261.052,411931.4798,6000259.495,104.836739,411931.4798,6000259.495,-5691.165527,411931.4798,6000259.495,-23805.16992,411931.4798,6000259.495,43585.96289,28.078516,20.117
100060306103W600,410903.53,6011536.678,410894.478,6011524.222,410890.8002,6011522.24,,410890.8002,6011522.24,,410890.8002,6011522.24,,410890.8002,6011522.24,,16.879246,8.187
100060506103W600,407815.2312,6011572.413,407815.2312,6011572.413,407815.2312,6011572.413,,407815.2312,6011572.413,,407815.2312,6011572.413,,407815.2312,6011572.413,,23.63,16.154
100061105903W600,412398.9033,5993583.539,412495.4903,5993729.111,412368.6232,5993596.783,89.244469,412368.6232,5993596.783,-18740.80469,412368.6232,5993596.783,-19238.85156,412368.6232,5993596.783,25858.54443,9.659521,1.725049
100063006003W600,405869.4985,6008436.038,405869.4985,6008436.038,405869.4985,6008436.038,115.018288,405869.4985,6008436.038,13259.27637,405869.4985,6008436.038,-32709.14063,405869.4985,6008436.038,59724.11328,24.17,22.25
100063605903W600,413646.404,6000378.641,414076.1617,6000231.246,414073.8452,6000234.37,103.860527,414073.8452,6000234.37,-9403.908203,414073.8452,6000234.37,-16787.50195,414073.8452,6000234.37,27444.67481,19.253194,11.278
100070206003W600,413003.9153,6002663.063,412863.7387,6001983.237,412858.898,6001976.943,107.201187,412858.898,6001976.943,-3339.007813,412858.898,6001976.943,-20447.89453,412858.898,6001976.943,35857.20703,27.210985,20.883951
100070706102W600,416312.5661,6012720.773,416517.6219,6013183.398,416335.564,6012784.161,,416335.564,6012784.161,,416335.564,6012784.161,,416335.564,6012784.161,,24.693889,18.898
100071006004W600,402220.443,6003186.32,401499.6193,6003745.85,402191.8969,6003216.265,111.963196,402191.8969,6003216.265,13282.17188,402191.8969,6003216.265,-14867.23145,402191.8969,6003216.265,41126.71777,,
100071306003W600,414596.1114,6004773.121,414444.1778,6004948.175,414440.1437,6004943.894,105.171272,414440.1437,6004943.894,-11654.29004,414440.1437,6004943.894,-15014.10449,414440.1437,6004943.894,24353.35938,16.558881,6.706
100071406004W600,403078.4758,6005771.092,403066.8545,6005508.32,403061.4242,6005500.035,112.069908,403061.4242,6005500.035,472.159058,403061.4242,6005500.035,-19358.23633,403061.4242,6005500.035,37089.51172,21.632931,18.741
100072106004W600,399528.9957,6006752.242,399788.4657,6006866.807,399785.1213,6006860.025,116.361511,399785.1213,6006860.025,32557.27148,399785.1213,6006860.025,-10398.29297,399785.1213,6006860.025,42324.75586,28.522658,22.555
100072406003W600,414678.1247,6006603.761,414678.1247,6006603.761,414678.1247,6006603.761,107.495522,414678.1247,6006603.761,-7162.731445,414678.1247,6006603.761,-15716.25488,414678.1247,6006603.761,29692.82227,19.609927,8.724927
100072605903W600,413246.5481,5998102.791,412889.9023,5998495.145,412887.4758,5998485.956,99.149384,412887.4758,5998485.956,-3680.252686,412887.4758,5998485.956,-16099.10742,412887.4758,5998485.956,29360.3291,18.855278,13.564
100072905904W600,398236.7219,5998861.076,398236.7219,5998861.076,398236.7219,5998861.076,117.38871,398236.7219,5998861.076,22697.03516,398236.7219,5998861.076,-5330.922363,398236.7219,5998861.076,30990.03369,24.77,8.992
100081705904W600,398263.8942,5994728.073,398390.1345,5995926.242,398386.789,5995922.892,111.136597,398386.789,5995922.892,7339.531738,398386.789,5995922.892,-4749.10791,398386.789,5995922.892,24393.18408,20.965866,14.63
100090806003W600,408563.3395,6004120.718,408563.3395,6004120.718,408563.3395,6004120.718,101.85498,408563.3395,6004120.718,-9317.630859,408563.3395,6004120.718,-35713.15625,408563.3395,6004120.718,52821.46094,13.4,10.363
100091106004W600,403446.3727,6004415.657,403419.8041,6004162.205,403419.7642,6004157.414,113.275475,403419.7642,6004157.414,8881.837891,403419.7642,6004157.414,-24644.48242,403419.7642,6004157.414,45959.46484,20.054975,13.411
100092506003W600,414540.8432,6008840.654,414863.7945,6008855.617,414864.0673,6008856.281,,414864.0673,6008856.281,6320.750488,414864.0673,6008856.281,-17505.51758,414864.0673,6008856.281,36292.69531,24.687938,14.478
100092605903W600,413258.8419,5998089.132,413169.9559,5998906.244,413171.3946,5998902.773,98.444229,413171.3946,5998902.773,-8427.982422,413171.3946,5998902.773,-14494.44238,413171.3946,5998902.773,25092.0127,20.626044,16.002
100100206005W600,393486.7008,6002764.384,393486.7008,6002764.384,393486.7008,6002764.384,122.02211,393486.7008,6002764.384,-1662.812622,393486.7008,6002764.384,-22717.77734,393486.7008,6002764.384,39098.25293,,6.117
100100306104W600,401813.1875,6012334.888,401813.1875,6012334.888,401813.1875,6012334.888,,401813.1875,6012334.888,,401813.1875,6012334.888,,401813.1875,6012334.888,,,26.975
100101406003W600,413322.5893,6005999.887,412951.2904,6005749.745,412948.0396,6005738.047,110.193512,412948.0396,6005738.047,-7516.233887,412948.0396,6005738.047,-22215.56836,412948.0396,6005738.047,39192.91016,,
100102405905W600,394943.9731,5997911.544,394943.9731,5997911.544,394943.9731,5997911.544,122.393921,394943.9731,5997911.544,-5201.010254,394943.9731,5997911.544,391.218018,394943.9731,5997911.544,8412.27417,13.11,0
100103605903W600,414171.0369,6000736.236,414396.9525,6000606.54,414391.5756,6000602.171,104.261208,414391.5756,6000602.171,-15405.20606,414391.5756,6000602.171,-15789.81348,414391.5756,6000602.171,23927.84522,16.005418,7.772
100110406003W600,409030.4537,6002152.675,409085.7389,6002497.071,409084.8656,6002495.033,104.276878,409084.8656,6002495.033,-14032.15527,409084.8656,6002495.033,-23231.75977,409084.8656,6002495.033,33138.05078,18.669527,9.01
100110706002W600,415732.0266,6003891.317,415732.0266,6003891.317,415732.0266,6003891.317,103.649162,415732.0266,6003891.317,-7294.424805,415732.0266,6003891.317,-12777.04102,415732.0266,6003891.317,20295.73926,15.22,6.858
100111805902W600,415760.3629,5995689.665,415760.3629,5995689.665,415760.3629,5995689.665,89.300484,415760.3629,5995689.665,-21069.02148,415760.3629,5995689.665,-23458.2168,415760.3629,5995689.665,30782.78955,16.840024,3.558024
100111905903W600,405749.0056,5997665.229,405749.0056,5997665.229,405749.0056,5997665.229,101.790993,405749.0056,5997665.229,-23661.85156,405749.0056,5997665.229,-17061.48633,405749.0056,5997665.229,19421.9856,23.24,8.564
100112105903W600,409109.7533,5997605.732,409109.7533,5997605.732,409109.7533,5997605.732,98.872482,409109.7533,5997605.732,-22910.31055,409109.7533,5997605.732,-14593.07324,409109.7533,5997605.732,15957.99976,18.49,6.248
100120206103W600,412363.8236,6012245.695,412404.9446,6012162.801,412372.0877,6012227.386,,412372.0877,6012227.386,,412372.0877,6012227.386,,412372.0877,6012227.386,,22.715363,7.149
100121706003W600,407323.1139,6005960.292,407258.0918,6005686.489,407258.6787,6005682.025,110.067009,407258.6787,6005682.025,4304.456055,407258.6787,6005682.025,-36805.59766,407258.6787,6005682.025,62162.72656,20.299229,9.906
100121806003W600,405593.1585,6005850.778,405769.4376,6005795.189,405754.8361,6005820.46,112.631805,405754.8361,6005820.46,10057.27734,405754.8361,6005820.46,-25659.89258,405754.8361,6005820.46,45844.03906,14.67574,11.327
100122406003W600,413973.5389,6007323.491,413803.6716,6007162.048,413801.842,6007154.294,111.177856,413801.842,6007154.294,10404.66895,413801.842,6007154.294,-22580.86914,413801.842,6007154.294,48736.60938,22.617963,12.344
100122406004W600,403827.3214,6007347.026,403827.3214,6007347.026,403827.3214,6007347.026,116.63427,403827.3214,6007347.026,-1209.633423,403827.3214,6007347.026,-18932.32617,403827.3214,6007347.026,33818.39453,20.55,15.24
100123006002W600,415574.5814,6008637.486,415620.01,6008928.117,415612.9675,6008929.528,,415612.9675,6008929.528,,415612.9675,6008929.528,,415612.9675,6008929.528,,23.472577,18.963
100123106002W600,415524.9343,6010357.572,415524.9343,6010357.572,415524.9343,6010357.572,,415524.9343,6010357.572,,415524.9343,6010357.572,,415524.9343,6010357.572,,23.93,13.149
100130306103W600,410492.7577,6012932.543,410672.7993,6012596.506,410666.3975,6012596.096,,410666.3975,6012596.096,,410666.3975,6012596.096,,410666.3975,6012596.096,,13.666749,9.754
100130606002W600,415475.1127,6002465.07,415475.1127,6002465.07,415475.1127,6002465.07,101.232521,415475.1127,6002465.07,-8460.930664,415475.1127,6002465.07,-13339.31543,415475.1127,6002465.07,19517.11133,14.08,6.096
100130906003W600,409079.6895,6004237.876,408927.775,6004311.36,408923.0368,6004307.062,104.507477,408923.0368,6004307.062,-5492.594727,408923.0368,6004307.062,-35521.01172,408923.0368,6004307.062,53149.35156,20.248974,12.614
100131405904W600,402381.7361,5996999.075,402052.1247,5996628.46,402048.053,5996620.858,108.132957,402048.053,5996620.858,-265.230255,402048.053,5996620.858,-11505.23145,402048.053,5996620.858,22428.31641,18.257435,4.267
100131806002W600,414770.5611,6005755.483,415352.1742,6005951.999,415334.4124,6005941.853,102.587624,415334.4124,6005941.853,-17306.49219,415334.4124,6005941.853,-13419.94727,415334.4124,6005941.853,19549.22607,,6.248
100132405903W600,413667.4181,5997814.402,413747.7945,5997700.45,413731.3056,5997720.671,98.782471,413731.3056,5997720.671,-5490.828125,413731.3056,5997720.671,-9182.52832,413731.3056,5997720.671,13890.26904,14.362827,6.706
100132505903W600,413638.2222,6000362.503,413710.4813,5999320.179,413706.4974,5999314.682,100.040344,413706.4974,5999314.682,-10801.30273,413706.4974,5999314.682,-11663.18555,413706.4974,5999314.682,18885.39746,17.685309,7.163
100133206003W600,407601.6171,6010848.101,407453.5509,6010732.666,407455.3054,6010728.41,118.169594,407455.3054,6010728.41,11555.08301,407455.3054,6010728.41,-33863.125,407455.3054,6010728.41,62935.93164,23.64957,12.04
100140106003W600,414664.1284,6002120.672,414085.13,6002510.906,414087.5976,6002510.202,103.599052,414087.5976,6002510.202,-9370.078125,414087.5976,6002510.202,-15968.19727,414087.5976,6002510.202,26906.61816,19.059889,9.754
100150506104W600,398384.7536,6012661.965,398570.2135,6012683.166,398572.7983,6012675.998,,398572.7983,6012675.998,,398572.7983,6012675.998,,398572.7983,6012675.998,,,7.01
100150805904W600,398246.6734,5994711.794,398065.015,5994923.197,398056.2527,5994917.73,114.210152,398056.2527,5994917.73,,398056.2527,5994917.73,,398056.2527,5994917.73,,18.261245,11.185
100151406003W600,413320.8623,6005998.633,412954.2308,6005747.081,412951.2354,6005735.734,110.193512,412951.2354,6005735.734,-7516.233887,412951.2354,6005735.734,-22215.56836,412951.2354,6005735.734,39192.91016,,9.449
100153405904W600,401781.256,6001107.944,401560.4157,6001180.776,401557.7143,6001178.211,107.56144,401557.7143,6001178.211,11194.98731,401557.7143,6001178.211,-14750.58984,401557.7143,6001178.211,39459.68164,20.986412,18.104
102050106004W600,404081.539,6001584.406,403967.2837,6001909.753,403963.756,6001910.865,108.126724,403963.756,6001910.865,-289.706329,403963.756,6001910.865,-20502.14453,403963.756,6001910.865,36879.71387,19.296655,16.15
102051206004W600,403475.1304,6004401.011,403801.2396,6003807.879,403799.6077,6003804.687,116.038155,403799.6077,6003804.687,7098.051758,403799.6077,6003804.687,-22381.90234,403799.6077,6003804.687,40370.06445,19.297984,12.844
102060306004W600,401795.2523,6001102.382,401071.3666,6002097.237,401068.4825,6002091.535,112.297691,401068.4825,6002091.535,12978.48633,401068.4825,6002091.535,-9809.291992,401068.4825,6002091.535,33567.87402,20.077775,16.652
102071106003W600,412900.7153,6003420.539,412900.7153,6003420.539,412900.7153,6003420.539,105.353104,412900.7153,6003420.539,-2858.078125,412900.7153,6003420.539,-21380.54297,412900.7153,6003420.539,39088.0625,28.3,24.994
102082806003W600,409800.0539,6008574.168,410087.6783,6008454.149,410092.6846,6008452.662,107.795029,410092.6846,6008452.662,26135.29102,410092.6846,6008452.662,-35042.96094,410092.6846,6008452.662,72689.875,18.717946,15.792
